encoder,variant,seed,val_ap,val_auc,val_mse,val_mae,test_ap,test_auc,test_f1,test_mse,test_mae
gru,full,42,0.917026457397469,0.9847287491009896,0.0912157115173395,0.1029254904042595,0.923872143412294,0.984990400401146,0.8608038201352964,0.0824601271733787,0.0929971402201847
gru,full,43,0.9165135115532358,0.984831760293797,0.0909801788173735,0.099672012987583,0.9236813990324164,0.9851375163607792,0.8588354635828769,0.082973286981783,0.0921043861466959
gru,full,44,0.916475630328949,0.984891843326033,0.0912195216158487,0.097937177607321,0.9234869477157156,0.98526767284678,0.8585616020188043,0.0829744901166466,0.091171646521639
gru,full,45,0.9170627631123448,0.9848007403130412,0.0904493324223702,0.1017597687681541,0.9235629554565048,0.984977608772516,0.8607493488278901,0.0819970330828611,0.0928137201907266
gru,full,46,0.9166150792812876,0.9847071135951996,0.0916335530328783,0.0979656640605942,0.9243720504644668,0.9849595410896892,0.8589497735525725,0.082818139759853,0.0909349430772489
gru,no_graph,42,0.9157271972582826,0.9839862050639392,0.0918283329535812,0.1009160796857846,0.9217598849371544,0.9842709232698716,0.8608437600256656,0.0832524559751439,0.0927199231083432
gru,no_graph,43,0.9148707285339216,0.9839847441972176,0.0919330325489428,0.1030981069266528,0.9222790418353338,0.9844118112433144,0.8606638839196978,0.0830084412243468,0.0950025190086402
gru,no_graph,44,0.9147412282593022,0.9841034488592628,0.0917919667870522,0.1023538040056415,0.9209337628562552,0.9842639533067096,0.8601494095911318,0.0832685722984163,0.0946816011743886
gru,no_graph,45,0.9147371025813108,0.9838214747967368,0.0923637352386335,0.1032121126319083,0.920984101355918,0.984299736029462,0.8581478076661736,0.0838195779394351,0.0955424877758609
gru,no_graph,46,0.9148218614450188,0.9841340756327676,0.0919586691568672,0.1030378825717745,0.9212319726713596,0.9843268677899432,0.8603956848851557,0.0833311426526359,0.0949444667357025
gru,no_temporal,42,0.9162965121560848,0.984733709726528,0.0915224800212458,0.1023487679952241,0.9234781954022072,0.9851052627849036,0.859353700585358,0.0829193153040975,0.0937266527017089
gru,no_temporal,43,0.9163189774224424,0.984650304254396,0.0911077143818163,0.1005639731148928,0.9239418677617324,0.9850577191835816,0.860099470559923,0.0824692049883233,0.093346028436071
gru,no_temporal,44,0.9163000199731955,0.9847694455157736,0.091091379427772,0.0989843035897601,0.9237783045981386,0.985252544534263,0.8594693133481872,0.0826548393006364,0.0913166643679828
gru,no_temporal,45,0.9164753938959744,0.9846411887031908,0.0912533963478964,0.099048561254884,0.923159129871124,0.9847939619979644,0.8586082953030976,0.0826487753506605,0.0915688167158921
gru,no_temporal,46,0.9159939184746316,0.9843778400217356,0.0913165885398203,0.0999318438180082,0.9236476946665674,0.9847633873827998,0.8591222136191368,0.0827891991426749,0.0921357323620617
gru,no_pair,42,0.902778731925794,0.9832743836915347,0.0952170324909264,0.1056611808412461,0.911131072770504,0.9839497498406296,0.8503689367364219,0.0852357048003086,0.095592278402057
gru,no_pair,43,0.9003300561862155,0.9827851090519758,0.0947453866195594,0.1078417126029696,0.9079926395954184,0.9835087736296818,0.8501047803566486,0.0876133766229871,0.0996967100853529
gru,no_pair,44,0.9042561696819754,0.983552952279272,0.0950248084055832,0.1045895615624623,0.9124674412864426,0.9842813374466488,0.8521280907985407,0.0860501765040497,0.0958304450743901
gru,no_pair,45,0.903993138285146,0.9835081095100964,0.0930151979752501,0.1029300042070336,0.9124695386891593,0.984060870404624,0.8514276496209066,0.0854488325364275,0.0949059539548038
gru,no_pair,46,0.9035898798302504,0.9834646938582466,0.0955611137371134,0.1036999872204027,0.9119084421848874,0.9841311102117848,0.8446561723280862,0.0863725537878998,0.0949209363772801
cnn,full,42,0.91619464394155,0.9846409262078868,0.0916551322369146,0.1007947883234034,0.923004156091684,0.9849967649600206,0.8604298154509867,0.0826679115945199,0.0929006382963513
cnn,full,43,0.9156751614467674,0.9847263137874156,0.09164231254581,0.1024954016062661,0.9230101384891984,0.9852585211179996,0.8605485568489875,0.0831409413875916,0.0944903558609328
cnn,full,44,0.9154133290955384,0.9847160737920412,0.0909634767906501,0.0988441864311538,0.9223814235005549,0.985181207389365,0.859964527571751,0.0828463995819703,0.0910048227317757
cnn,full,45,0.9167987701634284,0.9847761418245456,0.090845733799163,0.0998668713241749,0.9239129514343905,0.9851980139831268,0.8611188201244896,0.0821248803207172,0.0930398444205786
cnn,full,46,0.9161517509831748,0.9846075753759738,0.0912229639444756,0.0993054749495934,0.9229294920344598,0.985050154008124,0.8592916060164969,0.0830157857331612,0.0920989085749982
cnn,no_graph,42,0.9133942415196008,0.9836251336664926,0.0932704161075253,0.1037792328267275,0.9196755701861064,0.9841225435033092,0.8587921493690035,0.0841588289071717,0.0950018036898051
cnn,no_graph,43,0.9140042238739874,0.9841438977784744,0.0927137146651064,0.1041943604497819,0.9209250525813688,0.98469782841754,0.8584988434234665,0.0839352949214365,0.0959558774103588
cnn,no_graph,44,0.9138954343376756,0.9838403428520376,0.0924583740410274,0.1007947936173385,0.9199862768590734,0.9840654887356448,0.8571428571428572,0.0841416195637301,0.0928016634771102
cnn,no_graph,45,0.9135049437389988,0.983793431191304,0.0926243720995725,0.1030590096830719,0.9203938835296296,0.9842544931003242,0.8584081484761867,0.0840624526328764,0.0949324584677951
