encoder,variant,val_ap_mean,val_ap_std,val_auc_mean,val_auc_std,val_mse_mean,val_mse_std,val_mae_mean,val_mae_std,test_ap_mean,test_ap_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std
cnn,full,0.916,0.0005,0.9847,0.0001,0.0913,0.0004,0.1003,0.0014,0.923,0.0005,0.9851,0.0001,0.8603,0.0007,0.0828,0.0004,0.0927,0.0013
cnn,no_graph,0.9135,0.0005,0.9838,0.0002,0.0928,0.0003,0.1032,0.0014,0.9198,0.0011,0.9843,0.0003,0.8582,0.0006,0.0842,0.0003,0.0949,0.0013
cnn,no_temporal,0.916,0.0008,0.9847,0.0001,0.0911,0.0012,0.1,0.0014,0.9233,0.0011,0.9851,0.0002,0.859,0.001,0.0826,0.0017,0.0925,0.0013
cnn,no_pair,0.8894,0.0022,0.9809,0.0002,0.0988,0.001,0.1135,0.0021,0.895,0.0025,0.9814,0.0003,0.8409,0.0011,0.0913,0.0015,0.1043,0.0022
cnn,pair_only,0.9091,0.0013,0.9805,0.0006,0.0933,0.0005,0.1045,0.0057,0.9156,0.0019,0.981,0.0005,0.8567,0.0007,0.0845,0.0006,0.096,0.0056
gru,full,0.9167,0.0003,0.9848,0.0001,0.0911,0.0004,0.1001,0.0022,0.9238,0.0004,0.9851,0.0001,0.8596,0.0011,0.0826,0.0004,0.092,0.0009
gru,no_graph,0.915,0.0004,0.984,0.0001,0.092,0.0002,0.1025,0.001,0.9214,0.0006,0.9843,0.0001,0.86,0.0011,0.0833,0.0003,0.0946,0.0011
gru,no_temporal,0.9163,0.0002,0.9846,0.0002,0.0913,0.0002,0.1002,0.0014,0.9236,0.0003,0.985,0.0002,0.8593,0.0005,0.0827,0.0002,0.0924,0.0011
gru,no_pair,0.903,0.0016,0.9833,0.0003,0.0947,0.001,0.1049,0.0019,0.9112,0.0019,0.984,0.0003,0.8497,0.003,0.0861,0.0009,0.0962,0.002
gru,pair_only,0.909,0.0008,0.9801,0.0004,0.0934,0.0004,0.1038,0.0031,0.9158,0.0009,0.981,0.0002,0.8565,0.001,0.0847,0.0003,0.0954,0.0026
