model,config,seed,params,val_metric,test_metric
Hybrid,rank01_best,42,"(0.001, 128, 0.5)",0.9159759059558872,0.9228979693399916
Hybrid,rank01_best,43,"(0.001, 128, 0.5)",0.9163849835090848,0.924295547027595
Hybrid,rank01_best,44,"(0.001, 128, 0.5)",0.9154831461432664,0.9234286271682576
Hybrid,rank01_best,45,"(0.001, 128, 0.5)",0.915939945230487,0.9230042734975548
Hybrid,rank01_best,46,"(0.001, 128, 0.5)",0.9161235392520856,0.922835239779467
Hybrid,rank10,42,"(0.001, 32, 2.0)",0.9148272781135656,0.9222388456489774
Hybrid,rank10,43,"(0.001, 32, 2.0)",0.9149147486737572,0.9220516960936866
Hybrid,rank10,44,"(0.001, 32, 2.0)",0.9138496078871412,0.9207948349848808
Hybrid,rank10,45,"(0.001, 32, 2.0)",0.9148326096805676,0.9221335664564166
Hybrid,rank10,46,"(0.001, 32, 2.0)",0.9154016344746916,0.9219315730385902
Hybrid,rank19,42,"(0.0001, 128, 0.5)",0.9125389792522812,0.9169590888576818
Hybrid,rank19,43,"(0.0001, 128, 0.5)",0.9124727248169212,0.9168919474571104
Hybrid,rank19,44,"(0.0001, 128, 0.5)",0.9122616017785702,0.9161593690440536
Hybrid,rank19,45,"(0.0001, 128, 0.5)",0.9121922810780536,0.9163200439375636
Hybrid,rank19,46,"(0.0001, 128, 0.5)",0.912402688528908,0.9161305521904152
Hybrid,rank27_worst,42,"(0.0001, 32, 2.0)",0.9095188129924158,0.911604769854894
Hybrid,rank27_worst,43,"(0.0001, 32, 2.0)",0.9096461806151148,0.912763047881365
Hybrid,rank27_worst,44,"(0.0001, 32, 2.0)",0.9097340846140842,0.9127280132029658
Hybrid,rank27_worst,45,"(0.0001, 32, 2.0)",0.9097670608471872,0.9119247211887176
Hybrid,rank27_worst,46,"(0.0001, 32, 2.0)",0.9093689181375476,0.9113519448939454
GraphMixer,rank01_best,42,"(0.0001, 64, 1)",0.7612416828434955,0.7563113147127888
GraphMixer,rank01_best,43,"(0.0001, 64, 1)",0.7093316254895441,0.7005640354593621
GraphMixer,rank01_best,44,"(0.0001, 64, 1)",0.6772409942445999,0.668268693972368
GraphMixer,rank01_best,45,"(0.0001, 64, 1)",0.7223709777524855,0.7157813457817225
GraphMixer,rank01_best,46,"(0.0001, 64, 1)",0.6735311451221606,0.6652832586501887
GraphMixer,rank07,42,"(0.001, 256, 2)",0.6271503127066793,0.6372098380736638
GraphMixer,rank07,43,"(0.001, 256, 2)",0.3951601581311812,0.4220373029987996
GraphMixer,rank07,44,"(0.001, 256, 2)",0.6443639633137253,0.6349180270036213
GraphMixer,rank07,45,"(0.001, 256, 2)",0.5160182151836593,0.5474073080972994
GraphMixer,rank07,46,"(0.001, 256, 2)",0.5362160450770099,0.560503049258314
GraphMixer,rank13,42,"(0.0003, 128, 2)",0.5324128401744259,0.5306254145920288
GraphMixer,rank13,43,"(0.0003, 128, 2)",0.6273067502790232,0.6438247378363754
GraphMixer,rank13,44,"(0.0003, 128, 2)",0.6091947471481692,0.6158784740035959
GraphMixer,rank13,45,"(0.0003, 128, 2)",0.6418108406360166,0.6447939439277661
GraphMixer,rank13,46,"(0.0003, 128, 2)",0.693260058581443,0.7002197570457782
GraphMixer,rank18_worst,42,"(0.001, 128, 1)",0.4229249719998784,0.4277047470453258
GraphMixer,rank18_worst,43,"(0.001, 128, 1)",0.4070604319615609,0.4205537520449627
GraphMixer,rank18_worst,44,"(0.001, 128, 1)",0.5361661566668043,0.5391941951494694
GraphMixer,rank18_worst,45,"(0.001, 128, 1)",0.4895998815271912,0.4880146173995363
GraphMixer,rank18_worst,46,"(0.001, 128, 1)",0.5681892786212251,0.579714549608387
LSTM,rank01_best,42,"(0.001, 64, 1)",0.1272790425960424,0.115801865361052
LSTM,rank01_best,43,"(0.001, 64, 1)",0.1276741851153365,0.1167628357911634
LSTM,rank01_best,44,"(0.001, 64, 1)",0.1273616630028204,0.1165232968437701
LSTM,rank01_best,45,"(0.001, 64, 1)",0.1269667306369188,0.1153919453376225
LSTM,rank01_best,46,"(0.001, 64, 1)",0.1280220539984501,0.117273227301791
LSTM,rank07,42,"(0.001, 128, 2)",0.1289317289234465,0.118936795372096
LSTM,rank07,43,"(0.001, 128, 2)",0.1277202070811931,0.1165515493287483
LSTM,rank07,44,"(0.001, 128, 2)",0.1275967324120369,0.1162498302308224
LSTM,rank07,45,"(0.001, 128, 2)",0.1270951769955295,0.1156534183248523
LSTM,rank07,46,"(0.001, 128, 2)",0.127780496870891,0.1168373457579542
LSTM,rank13,42,"(0.0003, 32, 1)",0.1302924561706792,0.1202294046281593
LSTM,rank13,43,"(0.0003, 32, 1)",0.1310779401802521,0.1206155491399474
LSTM,rank13,44,"(0.0003, 32, 1)",0.1300327262966894,0.1197870724934208
LSTM,rank13,45,"(0.0003, 32, 1)",0.1304042508889688,0.1203085156466049
LSTM,rank13,46,"(0.0003, 32, 1)",0.1298116816571013,0.1198051023983057
LSTM,rank18_worst,42,"(0.0001, 32, 1)",0.1342675367938821,0.124414318406059
LSTM,rank18_worst,43,"(0.0001, 32, 1)",0.135182209994562,0.1254413526786351
LSTM,rank18_worst,44,"(0.0001, 32, 1)",0.1329360038112124,0.1230230729277788
LSTM,rank18_worst,45,"(0.0001, 32, 1)",0.1363313189771333,0.1265694130533371
LSTM,rank18_worst,46,"(0.0001, 32, 1)",0.13395641462126448,0.1246452182162753
