model,lr,hidden_dim,mixer_layers,val_auc,val_ap,val_f1,val_acc,sec
graphmixer,0.001,64,1,0.8757463157999296,0.5288688793012599,0.49403364825151375,0.6877677702044791,207.8
graphmixer,0.001,64,2,0.8880352236255511,0.5846322780816734,0.5071671942097941,0.7024707887049659,257.5
graphmixer,0.001,128,1,0.856339181929057,0.42292497199987844,0.5079014165233767,0.7074001947419669,207.3
graphmixer,0.001,128,2,0.8939410267186245,0.5547494583162038,0.5447402110095794,0.7489532619279454,245.9
graphmixer,0.001,256,1,0.8925926617342128,0.5488440776956451,0.5655969906654902,0.7722979552093476,202.6
graphmixer,0.001,256,2,0.9209631611401318,0.6271503127066793,0.6219729032581203,0.8162731256085687,248.2
graphmixer,0.0003,64,1,0.8910330683858948,0.6290858877254709,0.49333802211542216,0.6843476144109055,207.4
graphmixer,0.0003,64,2,0.9100056798519568,0.7084616580867596,0.4903901929695657,0.6792112950340798,255.8
graphmixer,0.0003,128,1,0.8715537552706204,0.49485566566576794,0.48958799167817074,0.6804892891918208,200.9
graphmixer,0.0003,128,2,0.8843592474257924,0.5324128401744259,0.5125511512856532,0.7085808179162609,284.4
graphmixer,0.0003,256,1,0.9052150205585625,0.5775402156919367,0.5656798841209487,0.7664313534566699,200.8
graphmixer,0.0003,256,2,0.9094552823773356,0.5925786082989478,0.5725397439104823,0.7712390457643622,290.9
graphmixer,0.0001,64,1,0.9272564153372809,0.7612416828434955,0.5071039993623339,0.6989410905550146,248.7
graphmixer,0.0001,64,2,0.9245544579619777,0.7602891788891738,0.492015487450157,0.6790287244401169,334.4
graphmixer,0.0001,128,1,0.9063150071294099,0.671474562068144,0.50114978986599,0.6937195715676728,543.1
graphmixer,0.0001,128,2,0.9000459957128345,0.6543418024909589,0.4991817016661737,0.6908592989289192,507.9
graphmixer,0.0001,256,1,0.8749785711422985,0.5153927221573696,0.48778699594829245,0.6768743914313534,202.8
graphmixer,0.0001,256,2,0.8758691314598563,0.5002877953320617,0.4886039886039886,0.6766553067185979,248.9
