encoder,lr,hidden,lambda_count,kernel_size,val_auc,val_ap,val_f1,val_acc,val_mse,val_mae,val_rmse,sec
cnn,0.001,32,1.0,3,0.984411249781166,0.9139186342275176,0.8543619061403193,0.951010223953262,0.09216190964866931,0.0994354677358698,0.303581800588687,145.4
cnn,0.001,32,1.0,5,0.9842145358004494,0.9137723919580971,0.8543175891046073,0.9510467380720545,0.09272025953800826,0.10007693327515803,0.3045000156617537,117.3
cnn,0.001,64,1.0,3,0.9845392783835457,0.9150260631866953,0.8549127308206556,0.9511319376825705,0.09193537595626568,0.09843313433801965,0.30320846946657953,116.0
cnn,0.001,64,1.0,5,0.9842592542861339,0.91363896744269,0.853021978021978,0.9505111976630964,0.09218825879510546,0.09910748688055938,0.30362519459871157,114.0
cnn,0.001,128,1.0,3,0.9844845561482604,0.9150389198417501,0.8543252846059024,0.951095423563778,0.09148914761735322,0.09877042692227178,0.3024717302779769,120.7
cnn,0.001,128,1.0,5,0.9845696319476525,0.9150069818902408,0.8538274649164158,0.9509371957156767,0.09177661452576398,0.09896758345928111,0.302946553909702,140.7
cnn,0.0003,32,1.0,3,0.984452554756491,0.9119788752781245,0.8534340165408127,0.9503894839337877,0.09319128557208743,0.10244994197412477,0.3052724775869705,145.0
cnn,0.0003,32,1.0,5,0.9844410221056713,0.9120246624207725,0.8525287480624347,0.9502069133398248,0.09329100246011099,0.10272262051559154,0.30543575831934117,112.4
cnn,0.0003,64,1.0,3,0.9846080350106079,0.913763687553685,0.8539754526149083,0.9506207400194742,0.09265572745340996,0.10152428956754182,0.3043940332092762,114.6
cnn,0.0003,64,1.0,5,0.9845650993501708,0.9135697573921969,0.8530481437470742,0.9503286270691333,0.09253310840481842,0.10152977139210725,0.3041925515275126,113.7
cnn,0.0003,128,1.0,3,0.9847645631031215,0.9146247241692311,0.8544123480832341,0.9508641674780915,0.091698099318957,0.10121786753517643,0.3028169402773844,118.8
cnn,0.0003,128,1.0,5,0.9845899378343729,0.9141232679722283,0.8546990038977912,0.9509980525803311,0.09191973037867301,0.10043570678072891,0.30318266833490504,133.7
cnn,0.0001,32,1.0,3,0.983960174101071,0.9083959908664752,0.8501374067596988,0.9488924050632911,0.09367274282643223,0.10727300667690703,0.3060600314095786,145.6
cnn,0.0001,32,1.0,5,0.9839326474506754,0.9094286624124222,0.8489404352806414,0.948636806231743,0.09378705496732803,0.10777803444749169,0.3062467223780983,112.0
cnn,0.0001,64,1.0,3,0.9840700219572822,0.9096984209158395,0.8489172341728822,0.9489654333008763,0.09339813920803798,0.10475482455378309,0.3056110914349117,115.1
cnn,0.0001,64,1.0,5,0.9841358670292903,0.9102092944857942,0.8481154192966637,0.9487463485881208,0.09338355143778507,0.10560453901169375,0.3055872239439749,114.4
cnn,0.0001,128,1.0,3,0.9843519461992711,0.9116787474435805,0.8500791708651216,0.9492940603700097,0.09260503723957378,0.10329178190953522,0.30431075767966825,118.7
cnn,0.0001,128,1.0,5,0.9843317431678534,0.9113143628955546,0.848942161888945,0.9490749756572542,0.09264908826188759,0.10305351245150059,0.30438312742641893,134.4
