encoder,lr,hidden,lambda_count,kernel_size,val_auc,val_ap,val_f1,val_acc,val_mse,val_mae,val_rmse,sec
gru,0.001,32,0.5,3,0.9847901692521613,0.9153409348417993,0.853855338857329,0.9508398247322298,0.09194160229334085,0.09924260958818565,0.30321873671219735,63.1
gru,0.001,32,1.0,3,0.984803072235608,0.9151731933785563,0.8537555121810163,0.9507546251217137,0.09192696201711817,0.09928172471971349,0.30319459430721746,59.7
gru,0.001,32,2.0,3,0.9847967777053623,0.9148272781135657,0.8550223375126098,0.9510223953261928,0.09173564313762263,0.09944448330923407,0.30287892488191154,58.4
gru,0.001,64,0.5,3,0.9846794278405075,0.9157275157405156,0.8539431719338938,0.9509493670886076,0.09171185233208902,0.09876941213535534,0.3028396478866151,89.1
gru,0.001,64,1.0,3,0.9847817211890144,0.9157094009663406,0.8548985695240154,0.9509858812074002,0.0912821621970579,0.09944313226492299,0.3021293798971856,95.4
gru,0.001,64,2.0,3,0.9847686880293252,0.9156550966482613,0.855880768540133,0.9511562804284324,0.09152368717482827,0.09903869372682307,0.3025288204036572,121.6
gru,0.001,128,0.5,3,0.984584507395811,0.9159759059558872,0.8524387584502435,0.9505842259006816,0.09133909930719263,0.09892377289819085,0.30222359157946727,121.8
gru,0.001,128,1.0,3,0.984373891342379,0.914884454974779,0.8525706010137583,0.9504381694255112,0.09147716070017615,0.09904296150682153,0.30245191469087473,121.0
gru,0.001,128,2.0,3,0.9846109428157291,0.9150227754284732,0.8530155290718671,0.9504625121713729,0.09140742610735932,0.09883993892067151,0.30233661059712785,115.0
gru,0.0003,32,0.5,3,0.9846706101411165,0.9136389222548452,0.8525407201415726,0.9503042843232716,0.09330138669996264,0.10268343997459353,0.30545275690352286,154.1
gru,0.0003,32,1.0,3,0.9845629072465312,0.9130743712614221,0.8524637368174784,0.9501095423563778,0.09300126800477858,0.10214414706290557,0.304961092608186,189.0
gru,0.0003,32,2.0,3,0.9844918690531441,0.9127597733255295,0.8508275339847835,0.9496470301850048,0.0929895710857085,0.1013318694466189,0.3049419142815702,191.6
gru,0.0003,64,0.5,3,0.9847852284476969,0.9144813790793799,0.8536876787718599,0.9508154819863681,0.0925720835273492,0.10170292180903782,0.30425660802577353,188.4
gru,0.0003,64,1.0,3,0.9847645711386921,0.9139103557739032,0.8533612233121755,0.9505111976630964,0.09229616039624496,0.10143018406419219,0.3038028314486963,187.8
gru,0.0003,64,2.0,3,0.9847722536798201,0.9144700706781244,0.852847873107426,0.9503164556962025,0.09222018517709153,0.1007865681437869,0.303677765365019,175.3
gru,0.0003,128,0.5,3,0.9848369662720887,0.9149249642893521,0.8538756604183253,0.9508519961051607,0.09175791794244817,0.10156632239101081,0.30291569444723093,243.1
gru,0.0003,128,1.0,3,0.9847576155488444,0.9145195031707902,0.8536594189790528,0.9507667964946446,0.091828379385849,0.10093873739964185,0.30303197749717603,244.7
gru,0.0003,128,2.0,3,0.9847327368867896,0.9143685180432984,0.854875202011133,0.9508154819863681,0.09148914042385488,0.10051282295367803,0.3024717183867855,244.8
gru,0.0001,32,0.5,3,0.9840309814057316,0.9099478735624901,0.8498837001252459,0.9489410905550146,0.09392141484371698,0.10777925084159116,0.3064660092795235,184.4
gru,0.0001,32,1.0,3,0.9839613885436299,0.909582358709652,0.8494131119381619,0.9487828627069134,0.09377554318252761,0.10685277512923815,0.3062279268494753,184.8
gru,0.0001,32,2.0,3,0.9839246697362567,0.9095188129924158,0.8489822247706422,0.9487098344693281,0.0936640609481651,0.10660858819015621,0.30604584778781935,184.2
gru,0.0001,64,0.5,3,0.9841220897757703,0.9102943008109391,0.8468585913452834,0.9485272638753651,0.09365722573306283,0.1055541106308,0.30603468060509553,189.4
gru,0.0001,64,1.0,3,0.9841306273016024,0.9103915253603688,0.8483908211863184,0.9488558909444985,0.09342728070457117,0.10446639932768872,0.3056587651361746,191.1
gru,0.0001,64,2.0,3,0.9840828869056951,0.9101631265382557,0.8483424315823723,0.9489410905550146,0.09329606680804228,0.103875899656899,0.3054440485719803,189.6
gru,0.0001,128,0.5,3,0.984514309723101,0.9125389792522811,0.8490278583865352,0.9493427458617332,0.09277273673024249,0.10355676539147807,0.3045861729137462,245.4
gru,0.0001,128,1.0,3,0.9844067407546913,0.9121406885745427,0.8492635083782708,0.9493062317429406,0.09258301256320453,0.1027637503669109,0.3042745677233057,256.4
gru,0.0001,128,2.0,3,0.984316414513517,0.9115820195038962,0.8494049765596826,0.949172346640701,0.09236634258853138,0.10250904811422039,0.30391831565164246,243.8
