model,lr,hidden_dim,num_layers,val_mse,val_mae,val_rmse,sec
lstm,0.001,32,1,0.25815256912622087,0.1978564215047868,0.5080871668584248,138.9
lstm,0.001,32,2,0.2747701960266572,0.20200363634598098,0.5241852687997415,148.4
lstm,0.001,64,1,0.25662155958083555,0.1937817521301255,0.5065782857375901,151.5
lstm,0.001,64,2,0.27510620077851067,0.2040525434602994,0.5245056727801051,314.7
lstm,0.001,128,1,0.2621245781725542,0.19670340183530838,0.5119810330203202,522.6
lstm,0.001,128,2,0.25767614294424346,0.1925138003299622,0.5076181073841274,854.2
lstm,0.0003,32,1,0.25095539538915623,0.19677933906692424,0.5009544843487842,125.8
lstm,0.0003,32,2,0.2669575093997667,0.20141916228595444,0.5166793100171195,128.2
lstm,0.0003,64,1,0.26257974816820534,0.19584329176754006,0.5124253586310941,126.7
lstm,0.0003,64,2,0.2599272383015462,0.1923850496866282,0.5098305976513632,146.4
lstm,0.0003,128,1,0.261185521632861,0.19661147633129678,0.5110631288137122,3077.8
lstm,0.0003,128,2,0.25746350553601516,0.19305559975746203,0.5074086179165813,7453.6
lstm,0.0001,32,1,0.2759500639087759,0.20492337794347368,0.5253094934500765,224.2
lstm,0.0001,32,2,0.27583063853969103,0.2041178527602925,0.5251958097126166,228.7
lstm,0.0001,64,1,0.27379954099388265,0.20382793313521436,0.5232585794747017,240.1
lstm,0.0001,64,2,0.2625208644737699,0.1959503168803336,0.5123678995348654,228.3
lstm,0.0001,128,1,0.25970912530952994,0.19804981636331656,0.5096166454400111,927.1
lstm,0.0001,128,2,0.25838540638528434,0.19259983587071722,0.50831624643059,1618.9
