lr,hidden_dim,num_neighbors,mixer_layers,seed,val_ap,test_ap,test_auc,test_f1,sec,error
3e-05,32,10,1,42,0.8797383713990833,0.8820416686339668,0.979519898636705,0.8324041677880735,322.9,
3e-05,32,10,1,43,0.844614608132629,0.8430150002737854,0.972837571816763,0.8062671716046632,315.2,
3e-05,32,10,2,42,0.8796806615869359,0.8815784715803374,0.9796806929282168,0.8318415539897162,355.7,
3e-05,32,10,2,43,0.872416047816856,0.875283515143566,0.9783431788762635,0.8254360356314095,361.7,
3e-05,32,20,1,42,0.8626209534262801,0.8604920092971506,0.9757251810792421,0.814977481668962,412.3,
3e-05,32,20,1,43,0.8467832053268924,0.8456652254629342,0.9733364983316831,0.8060997328584151,405.8,
3e-05,32,20,2,42,0.8783179687631957,0.8811041592957648,0.979353632604762,0.8286550585409787,522.6,
3e-05,32,20,2,43,0.8606715262118957,0.8619848950941161,0.9760029434199278,0.816017634092579,520.2,
3e-05,32,40,1,42,0.8856092575888853,0.8896134146386465,0.9808467240075801,0.8359125993625437,481.6,
3e-05,32,40,1,43,0.8677763195696946,0.8705197211954998,0.9774193794967533,0.8198191520901275,483.3,
3e-05,32,40,2,42,0.8800403565374454,0.8837538411774936,0.9798420280747371,0.8290760364379997,654.9,
3e-05,32,40,2,43,0.8411613864538044,0.8418349152177547,0.9726700875021188,0.8046602787456446,650.6,
3e-05,64,10,1,42,0.882281082259425,0.8834780478620968,0.9799675784601068,0.8330894246322114,350.7,
3e-05,64,10,1,43,0.882080548069105,0.884293494299809,0.9800107734784462,0.832955984496719,346.6,
3e-05,64,10,2,42,0.8838062691636129,0.8850589362741715,0.9801871791828658,0.8343887929380158,445.1,
3e-05,64,10,2,43,0.8838867737969799,0.8852295871430648,0.9802429810150584,0.8343181818181818,437.8,
3e-05,64,20,1,42,0.8826254938830934,0.8860225666152235,0.980306649705653,0.8341970900994279,436.5,
3e-05,64,20,1,43,0.8435912286759719,0.8421977601244479,0.9729032150358181,0.8050649783405531,430.5,
3e-05,64,20,2,42,0.8813277279178664,0.8843534794676856,0.9801519176106053,0.8333396534071518,588.2,
3e-05,64,20,2,43,0.882111130210906,0.8853444534058498,0.9801838525168841,0.833920654768671,562.8,
3e-05,64,40,1,42,0.8865211447117164,0.8893758299317126,0.9807807417349456,0.8361278440701377,508.4,
3e-05,64,40,1,43,0.8844361857581033,0.8882219357386646,0.9806565305772413,0.8359348166240506,507.8,
3e-05,64,40,2,42,0.8855536873598446,0.8883958479495151,0.980636913711727,0.8365329127072674,643.9,
3e-05,64,40,2,43,0.8824322963974026,0.888343909469568,0.980611553319345,0.8353660882613213,735.1,
3e-05,128,10,1,42,0.8836408671154218,0.8857289114187661,0.9804703745344154,0.8346549422941038,357.8,
3e-05,128,10,1,43,0.8839272118548961,0.8867209790477668,0.9805216246232641,0.8381749227821872,357.0,
3e-05,128,10,2,42,0.8829264901798122,0.8852641042524492,0.9802248759615966,0.8333139557415804,444.0,
3e-05,128,10,2,43,0.8837821137637243,0.8843935305667877,0.9802457525572437,0.8363480763994243,507.4,
3e-05,128,20,1,42,0.8858690240596105,0.8883352501513492,0.9806587796100026,0.8367823245682278,422.8,
3e-05,128,20,1,43,0.8848976354494689,0.887823016393559,0.9806989428506439,0.8365170514473221,437.1,
3e-05,128,20,2,42,0.8839919304583777,0.8863234061135057,0.9804089073139558,0.8343202136305584,603.1,
3e-05,128,20,2,43,0.8850153877651028,0.8872279614768974,0.9805711271253266,0.836556985435771,578.7,
3e-05,128,40,1,42,0.8871587141956181,0.8903557419581607,0.9810348423484769,0.838105640945619,628.2,
3e-05,128,40,1,43,0.8865199067307133,0.8894290367012755,0.9809498037698532,0.8373713256878939,995.1,
3e-05,128,40,2,42,0.8863543942489865,0.8888181324310638,0.9807407911671908,0.8352016191810681,2284.4,
3e-05,128,40,2,43,0.8846106328214354,0.8887444787649327,0.9806615246530104,0.836333129957291,1994.6,
0.0001,32,10,1,42,0.8807322084777923,0.8829725669004789,0.979741821774563,0.830391649069684,253.8,
0.0001,32,10,1,43,0.8803127470270494,0.8826797495976025,0.9798756636846417,0.8336584432969976,366.1,
0.0001,32,10,2,42,0.880832682073587,0.8830321300024412,0.9798201383951483,0.8323650817917749,390.4,
0.0001,32,20,1,42,0.8848467191934233,0.8863192408462841,0.9803559116767192,0.8332737172608402,376.6,
0.0001,32,20,1,43,0.8821232514477381,0.8853785488758306,0.9800775880970424,0.8343821949347658,377.3,
0.0001,32,40,1,42,0.8870234113895333,0.890663773959291,0.9810474512007283,0.8374769977682942,342.5,
0.0001,32,40,1,43,0.8843090778733274,0.8883913701940062,0.9806035947330207,0.8351526657174497,319.1,
0.0001,64,10,1,42,0.8833503577810736,0.8848792716625364,0.9801949169427105,0.8346298231355702,311.8,
0.0001,64,10,1,43,0.883779165926321,0.8858715321281438,0.9803824156105323,0.8345644813788858,329.0,
0.0001,64,20,1,42,0.8840983961413972,0.8879687546356423,0.980619718463361,0.8349919000231428,347.7,
0.0001,64,20,1,43,0.8831607873271952,0.8868927303695293,0.9804785301659061,0.8347071238004222,327.1,
0.0001,64,40,1,42,0.8872090737006224,0.8907295804723239,0.9810862711369076,0.840103108889236,341.7,
0.0001,64,40,1,43,0.8862411510148506,0.8893997664210467,0.980862306882912,0.8356634976432051,343.4,
0.0001,128,10,1,42,0.887983115566609,0.892147773865376,0.9817546102912382,0.8406956935145201,440.9,
0.0001,128,10,1,43,0.8850502457844596,0.8880152536108985,0.9807563122111085,0.8374607465119053,206.7,
0.0001,128,20,1,42,0.8870233548518272,0.8887249910986347,0.9808205020521948,0.8372202222570043,112.6,
0.0001,128,20,1,43,0.8857063918796574,0.8890914394920099,0.9808446224189605,0.8364075025293797,106.0,
0.0001,128,40,1,42,0.8876916837974697,0.8904429747453878,0.9811112870399813,0.8380072066426445,119.5,
0.0001,128,40,1,43,0.891343489029337,0.8953005613167238,0.9821453678428634,0.8439895676914566,188.5,
0.0003,32,10,1,42,0.8847531456068349,0.8886431644423982,0.981135078545159,0.8398579290425823,147.2,
0.0003,32,10,1,43,0.8809726750456166,0.8852893411438737,0.980217460268679,0.8363041955320307,104.2,
0.0003,32,20,1,42,0.8879528282262665,0.8903806567784003,0.9812819111674322,0.8390425911959671,123.3,
0.0003,32,20,1,43,0.8830934412416952,0.887274381725329,0.9804151251081549,0.834581037431123,88.0,
0.0003,32,40,1,42,0.8871714916877673,0.891102433558676,0.981148460629822,0.8392271798233775,102.1,
0.0003,32,40,1,43,0.8876363336473506,0.8928253030628263,0.9817477986436756,0.8402911068458094,146.7,
0.0003,64,10,1,42,0.8875168914021586,0.8909479177312433,0.9814377806887162,0.8397790055248618,121.9,
0.0003,64,10,1,43,0.8889601083850547,0.8934029897043622,0.9818522590810457,0.8432903149884281,130.9,
0.0003,64,20,1,42,0.8898383102846943,0.8939569542110198,0.981907246233395,0.8417905750924396,143.8,
0.0003,64,20,1,43,0.8845688489209713,0.8920582666683889,0.9814485087788276,0.8414191483548651,237.7,
0.0003,64,40,1,42,0.8882750952693618,0.8919888315318242,0.9812458784011584,0.8400092614031025,185.5,
0.0003,64,40,1,43,0.8918491334871642,0.8968457135695791,0.982380825945255,0.843211702170177,285.4,
0.0003,128,10,1,42,0.8937923987604084,0.8975007960033877,0.9825411072398682,0.8449904747093814,195.6,
0.0003,128,10,1,43,0.8930732957567646,0.8970435565783762,0.9823869656008537,0.8447703589347741,194.8,
0.0003,128,20,1,42,0.8943511798236389,0.8968630451179574,0.9824119373386315,0.8438693584846831,198.4,
0.0003,128,20,1,43,0.8922444657801424,0.8972159351286794,0.9824042648075315,0.8430872329893768,132.6,
0.0003,128,40,1,42,0.8939066347488993,0.8983602149172331,0.982485659409509,0.8449034081985236,104.0,
0.0003,128,40,1,43,0.8944664578400262,0.8989336674420397,0.9826684262754729,0.8440332038687076,94.4,
0.001,32,10,1,42,0.8916229775367965,0.8956002364591508,0.9822604918210662,0.8453111646336725,86.0,
0.001,32,10,1,43,0.8893083989457662,0.8939752708742067,0.9816400169760526,0.8397572078907436,85.4,
0.001,32,20,1,42,0.8925851752076297,0.8961815861196488,0.98215594033524,0.8451978289939431,79.8,
0.001,32,20,1,43,0.8889715975496213,0.8945577390315081,0.9817667163385823,0.8378429661113429,84.9,
0.001,32,40,1,42,0.8948084961053498,0.9003991309179561,0.982737025172024,0.8454226324300872,81.3,
0.001,32,40,1,43,0.8925183111934306,0.8988550439762927,0.9825799197019204,0.8470835114444488,83.3,
0.001,64,10,1,42,0.8935352764264223,0.898800695382119,0.9827636140390985,0.8458115387618081,83.0,
0.001,64,10,1,43,0.8942197541178218,0.897622956417644,0.9826398764692597,0.844870234402607,75.8,
0.001,64,20,1,42,0.8941516518113268,0.8992125150474524,0.9826086821810202,0.8473143759873618,155.3,
0.001,64,20,1,43,0.8935225804157612,0.8990000527737769,0.9825671158429009,0.8443106657689414,166.6,
0.001,64,40,1,42,0.8954491763258727,0.9019561476477296,0.9829822193440341,0.8474496221662468,147.0,
0.001,64,40,1,43,0.8957494456860432,0.9011671993109347,0.9830343941862326,0.8481854758395411,74.4,
0.001,128,10,1,42,0.8944345597792654,0.8980939567205892,0.9824670705761904,0.8454932240781594,59.2,
0.001,128,10,1,43,0.8951367742944419,0.898005698803867,0.9826771152878451,0.8460841831712407,77.1,
0.001,128,20,1,42,0.8951828410006081,0.8984576059013153,0.9825612778702467,0.8428819444444444,59.8,
0.001,128,20,1,43,0.8956984391970266,0.9015667931981078,0.9830310097656332,0.8445764276255066,70.3,
0.001,128,40,1,42,0.8967174277219543,0.9026743812881933,0.9831607198424123,0.8483556397804887,83.8,
0.001,128,40,1,43,0.8958657823653997,0.9014988610289255,0.9831127705998338,0.8473969113198535,74.1,
