lr,hidden,ts_lookback,dropout,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.001,128,6,0.0,42,0.9150669422203348,0.9221465526411031,0.09178529563305379,0.08365239825300469,0.8574659719697887,10,50.3,
0.001,128,6,0.1,42,0.9153109340413262,0.9231105446077402,0.0912827838381712,0.08276757945641246,0.8602539376406302,17,59.7,
0.001,128,6,0.3,42,0.9150977537351292,0.9220943370383033,0.09174983601387618,0.08357098282342795,0.8600354953210713,17,61.6,
0.001,128,12,0.0,42,0.9155290498197112,0.9231797016034019,0.09136566481940889,0.08232008164868587,0.8615568385427035,17,71.4,
0.001,128,12,0.1,42,0.915556806275646,0.9228549580134044,0.0915138149512426,0.08315920829633204,0.8603737268425696,17,61.5,
0.001,128,12,0.3,42,0.9149628619862585,0.9219575383694563,0.09174582983630548,0.08337885435274524,0.8590235431894359,17,60.0,
0.001,128,24,0.0,42,0.9161450218869481,0.9225331969155376,0.09212730440478682,0.08356703150026366,0.859985729009752,15,70.5,
0.001,128,24,0.1,42,0.9150765716234737,0.9216754291065615,0.09204315804142812,0.08374030187487759,0.8570734078755471,11,47.0,
0.001,128,24,0.3,42,0.9153970954363048,0.9223946926493088,0.09183326164830273,0.08380009877485392,0.858873899345666,17,69.5,
0.001,128,48,0.0,42,0.9168214119251948,0.9225005634194788,0.09082689971193794,0.08324940432315966,0.8573058895455472,23,139.9,
0.001,128,48,0.1,42,0.9157366676950937,0.923509974583976,0.09142304802387241,0.08316266634856194,0.8596067053513862,17,110.7,
0.001,128,48,0.3,42,0.9154191935507822,0.9226680784932872,0.09195889261161201,0.0835727919704664,0.8600426920133716,17,109.0,
0.001,256,6,0.0,42,0.9154435819919426,0.9231376707914111,0.0918767927892635,0.08297671002769132,0.8618656894766192,17,80.2,
0.001,256,6,0.1,42,0.915948738032034,0.9227121793506257,0.09138274233699281,0.08283477955382076,0.8599632323555271,17,70.1,
0.001,256,6,0.3,42,0.9143518984856712,0.9207111930501863,0.09243861584879978,0.08438434428384986,0.856518572469046,11,46.1,
0.001,256,12,0.0,42,0.9156424586668764,0.9227773956121417,0.09225008857404349,0.08336908788514762,0.8614255847895548,15,90.2,
0.001,256,12,0.1,42,0.9155145940016405,0.9230823405166899,0.09142264048106585,0.0823766652571267,0.8602583189152216,17,86.9,
0.001,256,12,0.3,42,0.9150198660556783,0.9223250720511343,0.09206184184774734,0.0835492443625621,0.8609075253314109,17,92.4,
0.001,256,24,0.0,42,0.9155316774967445,0.9227343688737165,0.0920579051094704,0.08335146033598655,0.8593706040753989,13,112.7,
0.001,256,24,0.1,42,0.9160013704079225,0.9225346659535935,0.09162091494803591,0.08324942701532093,0.8600777345918934,15,127.0,
0.001,256,24,0.3,42,0.9155203283430469,0.9221237920834863,0.09175142338211653,0.08331347734542081,0.860684580934101,17,146.9,
0.001,256,48,0.0,42,0.9157241419290609,0.9222915849330052,0.09161556048628441,0.0833031199652176,0.8614143331751306,16,229.7,
0.001,256,48,0.1,42,0.9157901737562282,0.922548193306458,0.09170215906729953,0.08316434928166767,0.8599610229487332,15,227.7,
0.001,256,48,0.3,42,0.9155022027057943,0.9218080853613432,0.09172594053498542,0.08373776384828842,0.8574228319451249,19,285.1,
0.001,384,6,0.0,42,0.9153512818237282,0.9228434713029696,0.09201170274049199,0.08306414821229349,0.8611243828635133,17,90.8,
0.001,384,6,0.1,42,0.9153784083424545,0.9227010704583962,0.09163088596028139,0.08315641687400421,0.8603253465822581,17,79.3,
0.001,384,6,0.3,42,0.9149568600326805,0.9215502057957767,0.09193133208372843,0.08388330868453969,0.8593793906306451,17,77.7,
0.001,384,12,0.0,42,0.9153212544808035,0.9222416669410736,0.09178122295748813,0.08261352312061687,0.8615067243226089,17,120.1,
0.001,384,12,0.1,42,0.9150179035978071,0.9225732627833397,0.09153268794554274,0.0832895196254503,0.8602202202202202,17,116.6,
0.001,384,12,0.3,42,0.915247468807496,0.9220580517089533,0.09179548745718949,0.0833468385674804,0.8588340225411498,23,156.6,
0.001,384,24,0.0,42,0.9155762249462436,0.9225172415417822,0.0914229739069382,0.08296527872349078,0.8608058608058607,17,201.1,
0.001,384,24,0.1,42,0.9166293003601613,0.9231306542607725,0.09077007944094134,0.08213634648166916,0.8602350280660662,23,279.1,
0.001,384,24,0.3,42,0.9142238868725018,0.9193751759898654,0.09261806041525349,0.0844082095363342,0.8592486923442701,15,184.0,
0.001,384,48,0.0,42,0.9161313938981798,0.9230007621086544,0.09166150039834181,0.08320843173777942,0.8610769413912147,17,341.8,
0.001,384,48,0.1,42,0.9162846931859628,0.9234158331622903,0.09111639736745822,0.08296189040570613,0.8583628156642674,23,495.8,
0.001,384,48,0.3,42,0.9149358228383899,0.9212295497801488,0.09207083843586909,0.0837105375684794,0.8592154319987032,19,410.8,
0.003,128,6,0.0,42,0.9163006290589505,0.9229424888542636,0.09185904095350682,0.08331394753162695,0.8588093322606597,10,48.5,
0.003,128,6,0.1,42,0.9157621412678354,0.9225254115638698,0.09196821362239947,0.08307406263987004,0.8598897783498934,10,37.7,
0.003,128,6,0.3,42,0.9145997025313669,0.9212561234768322,0.09226784897507569,0.08354271926418201,0.8582577943986017,12,44.4,
0.003,128,12,0.0,42,0.9159710830109381,0.9231608932443527,0.09202253370043088,0.08363042535902539,0.8580866062437059,10,46.8,
