lr,hidden_dim,lookback,layers_dropout,seed,val_mse,test_mse,epochs_run,sec,error
0.001,32,12,"(1, 0.0)",42,0.16827237549056423,0.15911340377880823,30,158.3,
0.001,32,12,"(2, 0.2)",42,0.16849127500036912,0.15963081787801608,13,78.8,
0.001,32,24,"(1, 0.0)",42,0.15504095410026972,0.14651675868944006,24,121.5,
0.001,32,24,"(2, 0.2)",42,0.15484752622639975,0.14650708842904406,24,124.9,
0.001,32,48,"(1, 0.0)",42,0.1272965049558714,0.11600485071926656,16,90.0,
0.001,32,48,"(2, 0.2)",42,0.12669219678546864,0.11508853271329625,29,150.8,
0.001,32,96,"(1, 0.0)",42,0.11468041857075974,0.10495782611928357,11,67.3,
0.001,32,96,"(2, 0.2)",42,0.11258834328996606,0.10281681607022626,30,178.3,
0.001,64,12,"(1, 0.0)",42,0.16823275978636126,0.1590725579113352,22,121.1,
0.001,64,12,"(2, 0.2)",42,0.16873075791245792,0.15992604910457725,8,51.5,
0.001,64,24,"(1, 0.0)",42,0.154735592247055,0.1459193220257413,27,135.5,
0.001,64,24,"(2, 0.2)",42,0.1556196810783491,0.14767364641583866,7,45.8,
0.001,64,48,"(1, 0.0)",42,0.127054675266806,0.11475529381216923,20,106.3,
0.001,64,48,"(2, 0.2)",42,0.12755252081757834,0.1165271600735277,15,111.0,
0.001,64,96,"(1, 0.0)",42,0.11454138528632392,0.10488285985605003,9,72.7,
0.001,64,96,"(2, 0.2)",42,0.11326543620106612,0.1035049012116243,25,271.1,
0.001,128,12,"(1, 0.0)",42,0.1683580394324984,0.15911422690195345,15,121.9,
0.001,128,12,"(2, 0.2)",42,0.16838152637812567,0.15883933608714498,10,129.5,
0.001,128,24,"(1, 0.0)",42,0.15464203363675164,0.14607180511041207,21,221.4,
0.001,128,24,"(2, 0.2)",42,0.15522911014709334,0.14746084128624704,9,166.7,
0.001,128,48,"(1, 0.0)",42,0.12743524607095189,0.11636671771493742,15,120.3,
0.001,128,48,"(2, 0.2)",42,0.12712084526345396,0.11626331618501932,18,198.9,
0.001,128,96,"(1, 0.0)",42,0.11171814816215035,0.1020014525853238,23,906.5,
0.001,128,96,"(2, 0.2)",42,0.11281301615390356,0.10371946167283413,13,3048.0,
0.003,32,12,"(1, 0.0)",42,0.16849128975317978,0.15964347635237705,10,63.0,
0.003,32,12,"(2, 0.2)",42,0.16826103419346158,0.15905263386006196,13,76.0,
0.003,32,24,"(1, 0.0)",42,0.15485483280790988,0.14627297360088365,17,86.5,
0.003,32,24,"(2, 0.2)",42,0.1549721373566485,0.14613380603248285,13,75.3,
0.003,32,48,"(1, 0.0)",42,0.127115303539065,0.11508521699195119,19,100.2,
0.003,32,48,"(2, 0.2)",42,0.12926933673771504,0.1195058701745474,5,38.8,
0.003,32,96,"(1, 0.0)",42,0.11352868359656718,0.1037331495907614,11,68.1,
0.003,32,96,"(2, 0.2)",42,0.11247278201683275,0.10251249370432615,17,478.6,
0.003,64,12,"(1, 0.0)",42,0.16806867178905807,0.1588270055249605,20,103.6,
0.003,64,12,"(2, 0.2)",42,0.16845917329155533,0.158973457153844,12,66.4,
0.003,64,24,"(1, 0.0)",42,0.15448285817338006,0.14585273200118298,22,106.0,
0.003,64,24,"(2, 0.2)",42,0.15513182475882167,0.1468635046401702,13,78.0,
0.003,64,48,"(1, 0.0)",42,0.1270889411288841,0.11529888573348203,12,74.3,
0.003,64,48,"(2, 0.2)",42,0.12744771599050303,0.11674482034472514,9,74.6,
0.003,64,96,"(1, 0.0)",42,0.11252004355682749,0.10207838815122088,20,467.2,
0.003,64,96,"(2, 0.2)",42,0.11312764417892768,0.10315370799690268,9,242.8,
0.003,128,12,"(1, 0.0)",42,0.1682456885161889,0.1591342866875169,10,94.4,
0.003,128,12,"(2, 0.2)",42,0.16826906905632186,0.15890033649209698,10,144.4,
0.003,128,24,"(1, 0.0)",42,0.1549917521196484,0.14654397487986107,10,132.1,
0.003,128,24,"(2, 0.2)",42,0.15507360752669444,0.14669688999944533,13,280.2,
0.003,128,48,"(1, 0.0)",42,0.12733275402733926,0.11559220066550092,11,178.9,
0.003,128,48,"(2, 0.2)",42,0.12748759085504324,0.11663451104576583,11,780.0,
