bin_idx,K,hits,precision_at_K
1200,10,0,0.0
1201,8,0,0.0
1202,5,0,0.0
1203,5,0,0.0
1204,3,0,0.0
1205,2,0,0.0
1206,1,0,0.0
1207,3,0,0.0
1208,2,0,0.0
1209,13,0,0.0
1210,11,1,0.09090909090909091
1211,26,5,0.19230769230769232
1212,46,12,0.2608695652173913
1213,68,19,0.27941176470588236
1214,83,25,0.30120481927710846
1215,111,39,0.35135135135135137
1216,126,38,0.30158730158730157
1217,103,26,0.2524271844660194
1218,77,17,0.22077922077922077
1219,54,8,0.14814814814814814
1220,43,4,0.09302325581395349
1221,57,10,0.17543859649122806
1222,61,7,0.11475409836065574
1223,51,7,0.13725490196078433
1224,63,8,0.12698412698412698
1225,75,9,0.12
1226,56,5,0.08928571428571429
1227,67,11,0.16417910447761194
1228,63,11,0.1746031746031746
1229,80,9,0.1125
1230,84,15,0.17857142857142858
1231,84,15,0.17857142857142858
1232,94,15,0.1595744680851064
1233,115,27,0.23478260869565218
1234,172,53,0.3081395348837209
1235,157,41,0.2611464968152866
1236,163,52,0.31901840490797545
1237,172,51,0.29651162790697677
1238,151,34,0.2251655629139073
1239,104,22,0.21153846153846154
1240,102,13,0.12745098039215685
1241,92,18,0.1956521739130435
1242,79,11,0.13924050632911392
1243,57,6,0.10526315789473684
1244,51,5,0.09803921568627451
1245,43,2,0.046511627906976744
1246,22,0,0.0
1247,12,1,0.08333333333333333
1248,5,0,0.0
1249,8,0,0.0
1250,7,0,0.0
1251,2,0,0.0
1253,4,0,0.0
1255,4,0,0.0
1256,3,0,0.0
1257,10,3,0.3
1258,20,2,0.1
1259,25,4,0.16
1260,59,21,0.3559322033898305
1261,78,21,0.2692307692307692
1262,94,33,0.35106382978723405
1263,120,48,0.4
1264,137,42,0.30656934306569344
1265,110,29,0.2636363636363636
1266,80,17,0.2125
1267,60,7,0.11666666666666667
1268,51,8,0.1568627450980392
1269,56,5,0.08928571428571429
1270,46,7,0.15217391304347827
1271,59,4,0.06779661016949153
1272,64,7,0.109375
1273,55,7,0.12727272727272726
1274,77,10,0.12987012987012986
1275,63,7,0.1111111111111111
1276,72,11,0.1527777777777778
1277,88,14,0.1590909090909091
1278,83,11,0.13253012048192772
1279,90,12,0.13333333333333333
1280,98,23,0.23469387755102042
1281,126,37,0.29365079365079366
1282,160,45,0.28125
1283,193,65,0.33678756476683935
1284,185,66,0.3567567567567568
1285,131,18,0.13740458015267176
1286,150,29,0.19333333333333333
1287,115,21,0.1826086956521739
1288,89,7,0.07865168539325842
1289,69,8,0.11594202898550725
1290,53,7,0.1320754716981132
1291,64,5,0.078125
1292,51,2,0.0392156862745098
1293,29,1,0.034482758620689655
1294,31,2,0.06451612903225806
1295,18,1,0.05555555555555555
1296,10,1,0.1
1297,9,0,0.0
1298,4,0,0.0
1299,5,0,0.0
1300,3,0,0.0
1301,2,0,0.0
1303,2,0,0.0
1304,2,0,0.0
1305,4,0,0.0
1306,10,2,0.2
1307,21,3,0.14285714285714285
1308,49,13,0.2653061224489796
1309,76,25,0.32894736842105265
1310,98,33,0.336734693877551
1311,131,54,0.4122137404580153
1312,144,49,0.3402777777777778
1313,115,37,0.3217391304347826
1314,80,15,0.1875
1315,67,9,0.13432835820895522
1316,65,12,0.18461538461538463
1317,52,5,0.09615384615384616
1318,49,5,0.10204081632653061
1319,73,8,0.1095890410958904
1320,60,4,0.06666666666666667
1321,69,7,0.10144927536231885
1322,84,13,0.15476190476190477
1323,66,10,0.15151515151515152
1324,58,5,0.08620689655172414
1325,62,8,0.12903225806451613
1326,75,12,0.16
1327,89,19,0.21348314606741572
1328,96,20,0.20833333333333334
1329,109,29,0.26605504587155965
1330,162,41,0.25308641975308643
1331,176,61,0.3465909090909091
1332,190,64,0.3368421052631579
1333,164,55,0.3353658536585366
1334,154,36,0.23376623376623376
1335,126,27,0.21428571428571427
1336,111,24,0.21621621621621623
1337,110,16,0.14545454545454545
1338,67,8,0.11940298507462686
1339,53,3,0.05660377358490566
1340,58,5,0.08620689655172414
1341,44,2,0.045454545454545456
1342,40,3,0.075
1343,13,1,0.07692307692307693
1344,14,0,0.0
1345,15,0,0.0
1346,5,0,0.0
1347,10,0,0.0
1348,3,0,0.0
1349,4,0,0.0
1351,3,0,0.0
1352,2,0,0.0
1353,6,0,0.0
1354,17,0,0.0
1355,22,1,0.045454545454545456
1356,44,8,0.18181818181818182
1357,59,18,0.3050847457627119
1358,92,34,0.3695652173913043
1359,113,41,0.36283185840707965
1360,129,42,0.32558139534883723
1361,121,37,0.30578512396694213
1362,81,17,0.20987654320987653
1363,61,6,0.09836065573770492
1364,64,7,0.109375
1365,56,4,0.07142857142857142
1366,68,7,0.10294117647058823
1367,57,8,0.14035087719298245
1368,81,15,0.18518518518518517
1369,63,6,0.09523809523809523
1370,80,15,0.1875
1371,82,7,0.08536585365853659
1372,78,15,0.19230769230769232
1373,59,3,0.05084745762711865
1374,71,9,0.1267605633802817
1375,94,20,0.2127659574468085
1376,106,27,0.25471698113207547
1377,112,31,0.2767857142857143
1378,54,7,0.12962962962962962
