split,model,stratum,n_queries,mrr,hits@1
test,Frequency,0,252,0.05743147419039146,0.015873015873015872
test,Frequency,1-5,1097,0.07413816950155037,0.0036463081130355514
test,Frequency,6-20,3000,0.1680290127109679,0.028666666666666667
test,Frequency,21-100,5638,0.4668977393580361,0.26587442355445196
test,Frequency,>100,2108,0.8179107933495979,0.717741935483871
test,Frequency,all,12095,0.4097903884624756,0.25680033071517155
test,Hybrid,0,252,0.026575405462644915,0.0
test,Hybrid,1-5,1097,0.07383997295949926,0.0036463081130355514
test,Hybrid,6-20,3000,0.1744905193352302,0.03166666666666667
test,Hybrid,21-100,5638,0.46657444945064913,0.27030862007804185
test,Hybrid,>100,2108,0.7921901204106213,0.6902277039848197
test,Hybrid,all,12095,0.4060896676599584,0.2544853245142621
test,GraphMixer,0,252,0.06401493595561418,0.007936507936507936
test,GraphMixer,1-5,1097,0.10710897786472123,0.024612579762989972
test,GraphMixer,6-20,3000,0.19968629164923718,0.061
test,GraphMixer,21-100,5638,0.3765446504077369,0.20379567222419298
test,GraphMixer,>100,2108,0.6346633556840252,0.49573055028463
test,GraphMixer,all,12095,0.3467150293763432,0.1989251756924349
