t_train_total,t_train_epoch,t_infer,n_cand,peak_mb,n_params,model,seed,run_order
158.76410675048828,5.292136891682943,0.4096360206604004,72570,1936.636416,599298,Hybrid GRU,42,0
134.8338339328766,4.494461131095886,0.3303818702697754,72570,1170.230784,151682,Hybrid CNN,42,1
339.14016819000244,11.30467227300008,0.4768638610839844,72570,9845.0944,50497,LSTM,42,2
80.0708737373352,2.66902912457784,3.832956790924072,72570,1584.756736,115085,GraphMixer,42,3
136.41390705108645,4.547130235036215,0.4077587127685547,72570,1937.691136,599298,Hybrid GRU,43,4
72.63823294639587,2.421274431546529,0.2874412536621094,72570,1170.902528,151682,Hybrid CNN,43,5
147.1227686405182,4.904092288017273,0.6375494003295898,72570,9844.100096,50497,LSTM,43,6
69.75724840164185,2.3252416133880613,3.723767042160034,72570,1585.48224,115085,GraphMixer,43,7
158.685617685318,5.2895205895106,0.4089531898498535,72570,1937.691136,599298,Hybrid GRU,44,8
109.54412174224854,3.651470724741618,0.2258675098419189,72570,1170.733056,151682,Hybrid CNN,44,9
158.48846578598022,5.282948859532675,0.6268386840820312,72570,9845.0944,50497,LSTM,44,10
79.11398124694824,2.6371327082316083,3.8298802375793457,72570,1584.756736,115085,GraphMixer,44,11
168.81058287620544,5.6270194292068485,0.5498044490814209,72570,1937.691136,599298,Hybrid GRU,45,12
98.95157313346864,3.298385771115621,0.2284064292907714,72570,1170.902528,151682,Hybrid CNN,45,13
203.31128191947937,6.777042730649312,0.4806973934173584,72570,9844.100096,50497,LSTM,45,14
69.51278829574585,2.317092943191528,3.663625240325928,72570,1585.48224,115085,GraphMixer,45,15
200.5979325771332,6.686597752571106,0.4662461280822754,72570,1937.691136,599298,Hybrid GRU,46,16
93.40085363388062,3.1133617877960207,0.2267353534698486,72570,1170.733056,151682,Hybrid CNN,46,17
123.65089201927184,4.121696400642395,0.4697287082672119,72570,9845.0944,50497,LSTM,46,18
69.60763907432556,2.3202546358108522,3.680927276611328,72570,1584.756736,115085,GraphMixer,46,19
