model,hyperparam,levels,ratio_raw,ratio_within_block,confounded_with_order
Hybrid GRU,lr,0.0001:190s; 0.0003:189s; 0.001:95s,1.9874213836477985,,0.9434563530497263
Hybrid GRU,hidden,32:184s; 64:188s; 128:244s,1.3235613463626494,1.3308026030368763,0.3144854510165755
Hybrid GRU,lambda_count,0.5:184s; 1.0:188s; 2.0:184s,1.0195439739413683,1.0169851380042463,0.10482848367219182
Hybrid CNN,lr,0.0001:117s; 0.0003:117s; 0.001:119s,1.0197086546700944,,0.9442673704375605
Hybrid CNN,hidden,32:131s; 64:114s; 128:127s,1.1454148471615722,1.1274638633377134,0.3147557901458535
Hybrid CNN,kernel_size,3:119s; 5:114s,1.0384615384615383,1.0408453549260943,0.09637388493048532
LSTM,lr,0.0001:56s; 0.0003:102s; 0.001:113s,2.025962399283796,,0.9442673704375605
LSTM,hidden_dim,32:85s; 64:54s; 128:154s,2.8468634686346865,3.9464944649446494,0.3147557901458535
LSTM,num_layers,1:113s; 2:112s,1.0107047279214987,1.4408318525099957,0.09637388493048532
GraphMixer,lr,0.0001:292s; 0.0003:232s; 0.001:227s,1.285651311439277,,0.9442673704375605
GraphMixer,hidden_dim,64:252s; 128:265s; 256:226s,1.175831485587583,1.0615284974093262,0.3147557901458535
GraphMixer,mixer_layers,1:207s; 2:258s,1.242161119150989,1.2521115496984643,0.09637388493048532
