model,variant,seed,val_ap,val_auc,test_ap,test_auc,test_f1,test_mse,test_mae,val_mse,val_mae,val_f1
Hybrid,GRU default,42,0.9157094009663406,0.9847817211890144,0.9228847576612156,0.9852802592766504,0.8586395939086294,0.0824657308613497,0.0922462295501204,,,
Hybrid,GRU HPO,42,0.9159759059558872,0.984584507395811,0.9228979693399916,0.9848638776998,0.8584225742090477,0.0823537348268872,0.0915121077895389,,,
Hybrid,CNN HPO,42,0.9149137292608835,0.9844750800677908,0.9219098734967331,0.9848430011041528,0.8581399123518909,0.0823364767345781,0.0916029650746264,,,
Hybrid,GRU default,43,0.916593525210581,0.9849335591868642,0.9244271260322529,0.9854645359162684,0.8613466924381681,0.082500104582495,0.0939865267100772,,,
Hybrid,GRU default,44,0.9156187865625592,0.9847254325531812,0.9225225095953608,0.9851267345928464,0.8612900660144756,0.0827112378665789,0.0929440831956038,,,
Hybrid,GRU default,45,0.915754012227158,0.9846641077574464,0.9235694682611356,0.9850998875286574,0.8600064143681847,0.0816028883376593,0.0918112682674779,,,
Hybrid,GRU default,46,0.9153693344984528,0.9843242636588072,0.9229316235595176,0.984692514992708,0.86045197740113,0.0826423698728988,0.0931042747038313,,,
Hybrid,GRU HPO,43,0.9163849835090848,0.9847497160473122,0.924295547027595,0.9851770415827608,0.8609089120598072,0.0817175657086667,0.0950342523053201,,,
Hybrid,GRU HPO,44,0.9154831461432664,0.984534837391568,0.9234286271682576,0.9848721841727628,0.8601703386780759,0.0817087222255483,0.0929213367008358,,,
Hybrid,GRU HPO,45,0.915939945230487,0.9844364659371828,0.9230042734975548,0.9845973917783613,0.8603191106490182,0.0821072256294737,0.0920110603291903,,,
Hybrid,GRU HPO,46,0.9161235392520856,0.9847063036096904,0.922835239779467,0.9848912642600652,0.8588836638724187,0.0821243747658738,0.0919815749431214,,,
Hybrid,CNN HPO,43,0.9161397849421608,0.984793994183732,0.9232826837250262,0.9852354498468786,0.8609526806435118,0.0821321751358954,0.0938783294438409,,,
Hybrid,CNN HPO,44,0.9154958610720484,0.9845254641664012,0.9226747180454692,0.9847641334365678,0.8599218687714264,0.0818368972140945,0.0929812243907219,,,
Hybrid,CNN HPO,45,0.915473900873938,0.9845017544120058,0.922653876219639,0.9847223109397324,0.8610432763521357,0.082013554767683,0.0913285181066609,,,
Hybrid,CNN HPO,46,0.9156666956479343,0.984483274206909,0.9223894810235214,0.9845871121358698,0.8592016840741641,0.0819476538648488,0.0912273415921836,,,
GraphMixer,default,42,0.5547494583162038,0.8939410267186245,0.5630844669691061,0.8954399399911855,0.5543464539096624,,,,,0.5447402110095794
GraphMixer,default,43,0.5758962612260581,0.8933073641265031,0.5947209364534801,0.8998212066517366,0.5756801601306328,,,,,0.5618718377252226
GraphMixer,default,44,0.601479330216928,0.8988089115947112,0.6249428286064269,0.9053678045415772,0.5622710153467756,,,,,0.5477049797400526
GraphMixer,default,45,0.588988552546437,0.8862791557565181,0.5866653782563929,0.8886136907022383,0.5400474636606349,,,,,0.5294142998750162
GraphMixer,default,46,0.6132072417855279,0.9002482403088922,0.6089951331760481,0.9003540922024207,0.5623332556272179,,,,,0.5534836297722895
GraphMixer,HPO,42,0.7612416828434955,0.9272564153372808,0.7563113147127888,0.9254958935481562,0.5034488896800321,,,,,0.5071039993623339
GraphMixer,HPO,43,0.7093316254895441,0.9091697908777376,0.7005640354593621,0.9069411612737296,0.4622535728119712,,,,,0.4626362878979969
GraphMixer,HPO,44,0.6772409942445999,0.8994303526197666,0.668268693972368,0.8993010488598698,0.4701957940536621,,,,,0.4674014366397981
GraphMixer,HPO,45,0.7223709777524855,0.9123040324836076,0.7157813457817225,0.9116197860770318,0.4913016872104204,,,,,0.488697399435836
GraphMixer,HPO,46,0.6735311451221606,0.9046468414377756,0.6652832586501887,0.9039865430653524,0.493794131836323,,,,,0.4934337243915251
LSTM,default,42,,,,,,0.115801865361052,0.1606787089415746,0.1272790425960424,0.1698859173412767,
LSTM,default,43,,,,,,0.1167628357911634,0.157169923045332,0.1276741851153365,0.166179099335483,
LSTM,default,44,,,,,,0.1165232968437701,0.1641159931628232,0.1273616630028204,0.1732352895787332,
LSTM,default,45,,,,,,0.1153919453376225,0.1597198490790955,0.1269667306369188,0.1690099879645877,
LSTM,default,46,,,,,,0.11727322730179103,0.15467146680934185,0.12802205399845018,0.1634432360863616,
