u,i,ts,ts_iso,rideable_type,member_casual
158,189,367.0,2024-05-16 00:06:07,classic_bike,member
150,198,504.0,2024-05-16 00:08:24,electric_bike,member
162,225,1162.0,2024-05-16 00:19:22,classic_bike,casual
153,153,1317.0,2024-05-16 00:21:57,electric_bike,casual
193,157,1883.0,2024-05-16 00:31:23,classic_bike,casual
155,230,2633.0,2024-05-16 00:43:53,classic_bike,casual
174,150,2946.0,2024-05-16 00:49:06,electric_bike,member
164,192,3176.0,2024-05-16 00:52:56,electric_bike,casual
187,194,3245.0,2024-05-16 00:54:05,electric_bike,member
159,160,5423.0,2024-05-16 01:30:23,classic_bike,member
159,160,5570.0,2024-05-16 01:32:50,classic_bike,member
159,160,5705.0,2024-05-16 01:35:05,classic_bike,member
159,160,5826.0,2024-05-16 01:37:06,classic_bike,member
150,166,5861.0,2024-05-16 01:37:41,electric_bike,member
159,160,5958.0,2024-05-16 01:39:18,classic_bike,member
171,201,6300.0,2024-05-16 01:45:00,electric_bike,member
187,216,6697.0,2024-05-16 01:51:37,electric_bike,member
230,209,7039.0,2024-05-16 01:57:19,classic_bike,member
169,168,7583.0,2024-05-16 02:06:23,electric_bike,member
186,205,9789.0,2024-05-16 02:43:09,electric_bike,casual
180,180,9951.0,2024-05-16 02:45:51,classic_bike,member
180,196,10028.0,2024-05-16 02:47:08,classic_bike,member
164,185,11458.0,2024-05-16 03:10:58,classic_bike,casual
160,149,15053.0,2024-05-16 04:10:53,electric_bike,member
166,187,15668.0,2024-05-16 04:21:08,electric_bike,member
204,223,16448.0,2024-05-16 04:34:08,classic_bike,member
193,190,16998.0,2024-05-16 04:43:18,classic_bike,casual
216,228,17151.0,2024-05-16 04:45:51,electric_bike,member
188,216,17476.0,2024-05-16 04:51:16,electric_bike,casual
164,152,17652.0,2024-05-16 04:54:12,classic_bike,casual
156,176,17850.0,2024-05-16 04:57:30,electric_bike,member
208,230,18053.0,2024-05-16 05:00:53,electric_bike,casual
156,176,18269.0,2024-05-16 05:04:29,electric_bike,casual
177,171,19034.0,2024-05-16 05:17:14,classic_bike,member
188,230,19051.0,2024-05-16 05:17:31,electric_bike,member
190,183,19131.0,2024-05-16 05:18:51,electric_bike,member
162,176,19678.0,2024-05-16 05:27:58,electric_bike,member
168,170,19703.0,2024-05-16 05:28:23,electric_bike,member
167,176,19784.0,2024-05-16 05:29:44,electric_bike,member
176,205,19795.0,2024-05-16 05:29:55,electric_bike,member
157,176,20030.0,2024-05-16 05:33:50,electric_bike,casual
167,176,20223.0,2024-05-16 05:37:03,electric_bike,member
216,228,20304.0,2024-05-16 05:38:24,electric_bike,member
160,176,20644.0,2024-05-16 05:44:04,electric_bike,member
190,185,20783.0,2024-05-16 05:46:23,classic_bike,member
187,220,20963.0,2024-05-16 05:49:23,electric_bike,casual
221,224,21012.0,2024-05-16 05:50:12,electric_bike,member
167,162,21153.0,2024-05-16 05:52:33,electric_bike,casual
188,208,21253.0,2024-05-16 05:54:13,classic_bike,member
185,220,21373.0,2024-05-16 05:56:13,classic_bike,member
196,205,21418.0,2024-05-16 05:56:58,electric_bike,member
162,171,21419.0,2024-05-16 05:56:59,classic_bike,member
198,230,21437.0,2024-05-16 05:57:17,electric_bike,member
162,150,21538.0,2024-05-16 05:58:58,electric_bike,member
212,149,21640.0,2024-05-16 06:00:40,electric_bike,member
158,150,21756.0,2024-05-16 06:02:36,electric_bike,member
