,u,i,ts,label,idx
0,159,190,367.0,0,1
1,151,199,504.0,0,2
2,163,226,1162.0,0,3
3,154,154,1317.0,0,4
4,194,158,1883.0,0,5
5,156,231,2633.0,0,6
6,175,151,2946.0,0,7
7,165,193,3176.0,0,8
8,188,195,3245.0,0,9
9,160,161,5423.0,0,10
10,160,161,5570.0,0,11
11,160,161,5705.0,0,12
12,160,161,5826.0,0,13
13,151,167,5861.0,0,14
14,160,161,5958.0,0,15
15,172,202,6300.0,0,16
16,188,217,6697.0,0,17
17,231,210,7039.0,0,18
18,170,169,7583.0,0,19
19,187,206,9789.0,0,20
20,181,181,9951.0,0,21
21,181,197,10028.0,0,22
22,165,186,11458.0,0,23
23,161,150,15053.0,0,24
24,167,188,15668.0,0,25
25,205,224,16448.0,0,26
26,194,191,16998.0,0,27
27,217,229,17151.0,0,28
28,189,217,17476.0,0,29
29,165,153,17652.0,0,30
30,157,177,17850.0,0,31
31,209,231,18053.0,0,32
32,157,177,18269.0,0,33
33,178,172,19034.0,0,34
34,189,231,19051.0,0,35
35,191,184,19131.0,0,36
36,163,177,19678.0,0,37
37,169,171,19703.0,0,38
38,168,177,19784.0,0,39
39,177,206,19795.0,0,40
40,158,177,20030.0,0,41
41,168,177,20223.0,0,42
42,217,229,20304.0,0,43
43,161,177,20644.0,0,44
44,191,186,20783.0,0,45
45,188,221,20963.0,0,46
46,222,225,21012.0,0,47
47,168,163,21153.0,0,48
48,189,209,21253.0,0,49
49,186,221,21373.0,0,50
50,197,206,21418.0,0,51
51,163,172,21419.0,0,52
52,199,231,21437.0,0,53
53,163,151,21538.0,0,54
54,213,150,21640.0,0,55
55,159,151,21756.0,0,56
56,219,229,21850.0,0,57
57,163,151,21869.0,0,58
58,216,231,22026.0,0,59
59,199,232,22052.0,0,60
60,206,221,22130.0,0,61
61,212,231,22206.0,0,62
62,177,157,22415.0,0,63
63,172,156,22695.0,0,64
64,160,151,22725.0,0,65
65,157,177,22734.0,0,66
66,185,180,22757.0,0,67
67,177,177,22766.0,0,68
68,168,169,22791.0,0,69
69,184,214,22802.0,0,70
70,169,176,22842.0,0,71
71,232,169,22912.0,0,72
72,161,161,22966.0,0,73
73,214,215,22970.0,0,74
74,181,185,23053.0,0,75
75,177,163,23113.0,0,76
76,171,151,23172.0,0,77
77,167,151,23173.0,0,78
78,184,231,23260.0,0,79
79,171,169,23307.0,0,80
80,189,229,23350.0,0,81
81,169,151,23428.0,0,82
82,177,168,23465.0,0,83
83,151,226,23508.0,0,84
84,171,169,23542.0,0,85
85,192,150,23545.0,0,86
86,185,181,23553.0,0,87
87,226,151,23635.0,0,88
88,154,152,23638.0,0,89
89,184,231,23644.0,0,90
90,172,151,23711.0,0,91
91,151,177,23721.0,0,92
92,207,232,23793.0,0,93
93,217,229,23860.0,0,94
94,168,150,23870.0,0,95
95,231,181,23876.0,0,96
96,230,231,23888.0,0,97
97,151,158,23895.0,0,98
98,231,181,24034.0,0,99
99,190,224,24036.0,0,100
100,189,229,24079.0,0,101
101,168,177,24096.0,0,102
102,193,182,24138.0,0,103
103,190,195,24162.0,0,104
104,231,181,24194.0,0,105
105,158,151,24364.0,0,106
106,231,181,24370.0,0,107
107,199,231,24376.0,0,108
108,151,175,24405.0,0,109
109,210,221,24450.0,0,110
110,196,225,24478.0,0,111
111,162,150,24488.0,0,112
112,231,181,24531.0,0,113
113,205,224,24600.0,0,114
114,231,181,24689.0,0,115
115,193,231,24810.0,0,116
116,163,206,24817.0,0,117
117,231,181,24854.0,0,118
118,209,231,24895.0,0,119
119,163,151,24911.0,0,120
120,154,182,24924.0,0,121
121,158,151,24936.0,0,122
122,231,181,25015.0,0,123
123,231,181,25151.0,0,124
124,169,177,25167.0,0,125
125,177,157,25175.0,0,126
126,156,160,25196.0,0,127
127,217,229,25278.0,0,128
128,167,171,25347.0,0,129
129,221,188,25361.0,0,130
130,175,154,25361.0,0,131
131,172,158,25385.0,0,132
132,206,206,25471.0,0,133
133,213,224,25485.0,0,134
134,207,49,25492.0,0,135
135,206,166,25562.0,0,136
136,192,150,25593.0,0,137
137,209,215,25600.0,0,138
138,177,154,25608.0,0,139
139,184,215,25642.0,0,140
140,173,152,25714.0,0,141
141,165,151,25766.0,0,142
142,163,177,25770.0,0,143
143,163,153,25793.0,0,144
144,191,231,25805.0,0,145
145,161,155,25834.0,0,146
146,175,151,25931.0,0,147
147,177,168,25948.0,0,148
148,164,152,26128.0,0,149
149,185,231,26153.0,0,150
150,155,170,26168.0,0,151
151,210,231,26211.0,0,152
152,202,200,26218.0,0,153
153,191,231,26266.0,0,154
154,162,150,26308.0,0,155
155,161,150,26372.0,0,156
156,173,163,26497.0,0,157
157,212,231,26543.0,0,158
158,232,180,26561.0,0,159
159,212,223,26592.0,0,160
160,160,151,26677.0,0,161
161,163,159,26736.0,0,162
162,184,185,26774.0,0,163
163,219,229,26784.0,0,164
164,172,153,26786.0,0,165
165,173,150,26807.0,0,166
166,159,151,26820.0,0,167
167,209,231,26992.0,0,168
168,164,151,27013.0,0,169
169,158,167,27039.0,0,170
170,214,231,27046.0,0,171
171,175,161,27155.0,0,172
172,154,206,27163.0,0,173
173,196,220,27187.0,0,174
174,189,221,27205.0,0,175
175,222,232,27209.0,0,176
176,207,180,27252.0,0,177
177,184,231,27255.0,0,178
178,212,231,27291.0,0,179
179,199,232,27354.0,0,180
180,173,161,27404.0,0,181
181,212,231,27430.0,0,182
182,166,151,27436.0,0,183
183,211,224,27496.0,0,184
184,152,218,27498.0,0,185
185,192,150,27515.0,0,186
186,162,150,27521.0,0,187
187,173,161,27566.0,0,188
188,230,231,27567.0,0,189
189,210,231,27578.0,0,190
190,210,221,27595.0,0,191
191,168,168,27639.0,0,192
192,160,159,27664.0,0,193
193,185,231,27687.0,0,194
194,169,170,27759.0,0,195
195,154,156,27804.0,0,196
196,168,177,27805.0,0,197
197,174,151,27808.0,0,198
198,214,221,27818.0,0,199
199,201,229,27823.0,0,200
200,159,186,27832.0,0,201
201,219,229,27863.0,0,202
202,165,151,27900.0,0,203
203,169,151,27920.0,0,204
204,173,151,27935.0,0,205
205,193,206,27956.0,0,206
206,229,219,27959.0,0,207
207,221,206,27968.0,0,208
208,175,151,27984.0,0,209
209,212,231,27993.0,0,210
210,175,152,28029.0,0,211
211,229,201,28057.0,0,212
212,200,200,28060.0,0,213
213,210,231,28123.0,0,214
214,207,185,28171.0,0,215
215,178,152,28174.0,0,216
216,193,231,28175.0,0,217
217,157,172,28193.0,0,218
218,166,172,28196.0,0,219
219,223,232,28234.0,0,220
220,151,154,28271.0,0,221
221,218,229,28280.0,0,222
222,168,153,28298.0,0,223
223,230,231,28313.0,0,224
224,214,231,28316.0,0,225
225,151,162,28320.0,0,226
226,168,161,28354.0,0,227
227,158,161,28398.0,0,228
228,164,177,28399.0,0,229
229,181,232,28404.0,0,230
230,201,229,28430.0,0,231
231,212,231,28442.0,0,232
232,190,180,28457.0,0,233
233,154,206,28488.0,0,234
234,178,151,28491.0,0,235
235,200,222,28496.0,0,236
236,205,224,28503.0,0,237
237,182,221,28507.0,0,238
238,195,225,28531.0,0,239
239,157,168,28538.0,0,240
240,164,151,28552.0,0,241
241,201,229,28577.0,0,242
242,225,206,28578.0,0,243
243,163,186,28624.0,0,244
244,152,160,28627.0,0,245
245,167,151,28649.0,0,246
246,184,206,28682.0,0,247
247,184,231,28702.0,0,248
248,165,150,28724.0,0,249
