row,idx,station_id,name,cap_z,lat_z,lon_z
0,PADDING,,,0.0000,0.0000,0.0000
1,0,3996.01,7 St & 3 Ave,-0.7497,-2.4186,0.5488
2,1,4028.03,3 St & 3 Ave,1.5329,-2.3249,0.6097
3,2,4125.07,7 Ave & Park Pl,-0.7082,-2.2284,1.0345
4,3,4143.04,3 Ave & Carroll St,-0.6252,-2.2507,0.6463
5,4,4193.14,1 Pl & Clinton St,-0.3347,-2.1015,0.2787
6,5,4605.04,Clinton St & Joralemon St,0.3293,-1.6677,0.4449
7,6,4617.01,Lewis Ave & Kosciuszko St,-0.7497,-1.6686,2.0940
8,7,4659.02,Myrtle Ave & St Edwards St,0.5784,-1.6345,0.9233
9,8,4683.02,Emerson Pl & Myrtle Ave,0.8689,-1.6208,1.3567
10,9,4846.01,South St & Whitehall St,0.5368,-1.3328,-0.1103
11,10,4993.02,Pearl St & Hanover Square,1.0764,-1.2002,-0.0200
12,11,4993.15,Water St & Gouverneur Ln,-0.2102,-1.2010,0.0158
13,12,5001.08,Little West St & 1 Pl,-0.2932,-1.1632,-0.2401
14,13,5024.10,Water St & Fletcher St,1.5329,-1.1359,0.0872
15,14,5033.01,Broadway & Morris St,1.1179,-1.1536,-0.1359
16,15,5065.10,Maiden Ln & Pearl St,-0.5422,-1.1111,0.0368
17,16,5073.07,Greenwich St & Rector St,0.7029,-1.0731,-0.1459
18,17,5105.09,Liberty St & Nassau St,0.1218,-1.0533,-0.0228
19,18,5114.06,West Thames St,1.2839,-1.0625,-0.2506
20,19,5114.08,South End Ave & Albany St,0.1218,-1.0014,-0.2331
21,20,5145.02,Albany St & Greenwich St,0.1633,-1.0276,-0.1368
22,21,5167.06,St James Pl & Pearl St,-0.6252,-0.9552,0.2462
23,22,5170.01,Stagg St & Morgan Ave,-0.7912,-0.9739,2.1916
24,23,5175.08,Fulton St & Broadway,0.2878,-0.9593,-0.0255
25,24,5184.08,West St & Liberty St,0.2463,-0.9450,-0.1836
26,25,5207.01,Centre St & Chambers St,0.6199,-0.8961,0.1162
27,26,5216.06,Vesey St & Church St,1.4914,-0.9155,-0.0555
28,27,5241.02,Metropolitan Ave & Vandervoort Ave,-0.7497,-0.8370,2.2059
29,28,5288.08,Park Pl & Church St,0.4953,-0.8730,-0.0228
30,29,5288.09,Warren St & W Broadway,1.2009,-0.8199,-0.0155
31,30,5288.12,Murray St & Greenwich St,0.2878,-0.8157,-0.0775
32,31,5294.04,Henry St & Grand St,-0.2517,-0.8400,0.8046
33,32,5297.02,Vesey Pl & River Terrace,0.6199,-0.7972,-0.2345
34,33,5329.03,West St & Chambers St,3.0270,-0.7134,-0.1360
35,34,5329.08,Murray St & West St,0.7859,-0.8089,-0.1137
36,35,5340.01,N 7 St & Driggs Ave,0.4538,-0.7354,1.5279
37,36,5359.11,Leonard St & Church St,0.4953,-0.7125,0.0886
38,37,5359.12,Duane St & Hudson St,0.0803,-0.7330,-0.0197
39,38,5359.13,Church St & Worth St,0.1218,-0.7385,0.0607
40,39,5368.03,River Ter & Warren St,1.1179,-0.7115,-0.2138
41,40,5391.06,Lispenard St & Broadway,1.5329,-0.6434,0.1787
42,41,5400.05,Harrison St & Hudson St,-0.1272,-0.6693,-0.0125
43,42,5422.09,Lafayette St & Grand St,1.4914,-0.6097,0.2865
44,43,5430.08,Franklin St & W Broadway,-0.3762,-0.6539,0.0559
45,44,5430.10,6 Ave & Walker St,-0.1272,-0.6283,0.0981
46,45,5450.01,N 10 St & Berry St,0.2048,-0.6108,1.5076
47,46,5470.02,N Moore St & Hudson St,0.9934,-0.6218,0.0039
48,47,5470.10,Greenwich St & Hubert St,-0.2932,-0.5703,-0.0436
49,48,5470.12,North Moore St & Greenwich St,-0.5422,-0.6130,-0.0505
50,49,5484.09,Allen St & Stanton St,0.2878,-0.5424,0.5699
51,50,5489.04,N 11 St & Kent Ave,-0.6252,-0.5262,1.4450
52,51,5492.05,Cleveland Pl & Spring St,-0.3762,-0.5406,0.3316
53,52,5509.02,Washington St & Laight St,0.8689,-0.5327,-0.0593
54,53,5532.01,Mercer St & Spring St,1.0349,-0.4827,0.2658
55,54,5539.06,Laight St & Hudson St,1.8649,-0.5500,0.0251
56,55,5561.06,Lafayette St & Jersey St,0.7444,-0.4473,0.3783
57,56,5584.04,E 6 St & Ave B,2.1969,-0.4482,0.7823
58,57,5602.06,Greene St & Prince St,0.1218,-0.4262,0.2714
59,58,5644.05,W Broadway & W Houston St,0.3293,-0.3784,0.2373
60,59,5659.05,E 10 St & Ave A,2.6950,-0.3393,0.7950
61,60,5679.08,Bleecker St & Crosby St,0.8689,-0.3868,0.3945
62,61,5687.04,MacDougal St & Prince St,0.5784,-0.3509,0.1641
63,62,5696.03,Pier 40 - Hudson River Park,-0.7912,-0.3277,-0.0796
64,63,5712.12,E 5 St & Cooper Sq,0.3293,-0.3286,0.5148
65,64,5721.07,Thompson St & Bleecker St,0.7859,-0.3017,0.2602
66,65,5730.08,Greenwich St & W Houston St,0.3293,-0.2848,-0.0005
67,66,5763.03,Carmine St & 6 Ave,0.8689,-0.2263,0.1881
68,67,5772.05,Morton St & Washington St,1.5744,-0.1973,-0.0086
69,68,5779.08,1 Ave & E 16 St,0.4953,-0.1568,0.7881
70,69,5779.11,Ave A & E 14 St,-0.0442,-0.2292,0.8228
71,70,5785.05,Greenpoint Ave & Manhattan Ave,-0.6252,-0.2311,1.5996
72,71,5872.10,E 9 St & 5 Ave,0.7029,-0.1363,0.3735
73,72,5914.03,W 11 St & 6 Ave,0.2048,-0.0390,0.3095
74,73,6030.04,W 13 St & 7 Ave,0.2048,0.0555,0.2526
75,74,6030.06,W 15 St & 7 Ave,1.5329,0.1140,0.2710
76,75,6039.06,Washington St & Gansevoort St,0.3708,0.1127,0.0134
77,76,6072.06,Greenwich Ave & 8 Ave,1.3669,0.1011,0.1738
78,77,6072.11,8 Ave & W 16 St,-0.2517,0.1757,0.2012
79,78,6089.07,Lexington Ave & E 24 St,1.5329,0.1482,0.7168
80,79,6098.10,Broadway & E 21 St,0.4953,0.1342,0.5560
81,80,6101.11,48 Ave & 41 St,-0.8742,0.1331,2.4761
82,81,6108.03,69 St & 43 Ave,-0.9572,0.2063,3.3065
